case_id,activity,timestamp,label
1,K1,2022-08-18 23:05:56,1
1,K6,2022-08-18 23:06:56,1
1,K8,2022-08-18 23:07:56,1
2,K1,2022-08-18 23:08:56,1
2,K6,2022-08-18 23:09:56,1
2,K9,2022-08-18 23:10:56,1
3,K1,2022-08-18 23:11:56,1
3,K6,2022-08-18 23:12:56,1
3,K8,2022-08-18 23:13:56,1
4,K1,2022-08-18 23:14:56,1
4,K6,2022-08-18 23:15:56,1
4,K8,2022-08-18 23:16:56,1
5,K1,2022-08-18 23:17:56,1
5,K6,2022-08-18 23:18:56,1
5,K9,2022-08-18 23:19:56,1
6,K1,2022-08-18 23:20:56,1
6,K2,2022-08-18 23:21:56,1
6,K4,2022-08-18 23:22:56,1
6,K5,2022-08-18 23:23:56,1
6,K3,2022-08-18 23:24:56,1
6,K4,2022-08-18 23:25:56,1
6,K7,2022-08-18 23:26:56,1
6,K9,2022-08-18 23:27:56,1
7,K1,2022-08-18 23:28:56,1
7,K6,2022-08-18 23:29:56,1
7,K9,2022-08-18 23:30:56,1
8,K1,2022-08-18 23:31:56,1
8,K6,2022-08-18 23:32:56,1
8,K9,2022-08-18 23:33:56,1
9,K1,2022-08-18 23:34:56,1
9,K6,2022-08-18 23:35:56,1
9,K8,2022-08-18 23:36:56,1
10,K1,2022-08-18 23:37:56,1
10,K6,2022-08-18 23:38:56,1
10,K9,2022-08-18 23:39:56,1
11,K1,2022-08-18 23:40:56,1
11,K6,2022-08-18 23:41:56,1
11,K9,2022-08-18 23:42:56,1
12,K1,2022-08-18 23:43:56,1
12,K6,2022-08-18 23:44:56,1
12,K8,2022-08-18 23:45:56,1
13,K1,2022-08-18 23:46:56,1
13,K6,2022-08-18 23:47:56,1
13,K8,2022-08-18 23:48:56,1
14,K1,2022-08-18 23:49:56,1
14,K2,2022-08-18 23:50:56,1
14,K4,2022-08-18 23:51:56,1
14,K5,2022-08-18 23:52:56,1
14,K4,2022-08-18 23:53:56,1
14,K5,2022-08-18 23:54:56,1
14,K4,2022-08-18 23:55:56,1
14,K5,2022-08-18 23:56:56,1
14,K4,2022-08-18 23:57:56,1
14,K5,2022-08-18 23:58:56,1
14,K4,2022-08-18 23:59:56,1
14,K3,2022-08-19 00:00:56,1
14,K5,2022-08-19 00:01:56,1
14,K4,2022-08-19 00:02:56,1
14,K7,2022-08-19 00:03:56,1
14,K9,2022-08-19 00:04:56,1
15,K1,2022-08-19 00:05:56,1
15,K2,2022-08-19 00:06:56,1
15,K3,2022-08-19 00:07:56,1
15,K4,2022-08-19 00:08:56,1
15,K5,2022-08-19 00:09:56,1
15,K4,2022-08-19 00:10:56,1
15,K7,2022-08-19 00:11:56,1
15,K9,2022-08-19 00:12:56,1
16,K1,2022-08-19 00:13:56,1
16,K6,2022-08-19 00:14:56,1
16,K9,2022-08-19 00:15:56,1
17,K1,2022-08-19 00:16:56,1
17,K2,2022-08-19 00:17:56,1
17,K4,2022-08-19 00:18:56,1
17,K5,2022-08-19 00:19:56,1
17,K4,2022-08-19 00:20:56,1
17,K5,2022-08-19 00:21:56,1
17,K4,2022-08-19 00:22:56,1
17,K3,2022-08-19 00:23:56,1
17,K5,2022-08-19 00:24:56,1
17,K4,2022-08-19 00:25:56,1
17,K5,2022-08-19 00:26:56,1
17,K4,2022-08-19 00:27:56,1
17,K5,2022-08-19 00:28:56,1
17,K4,2022-08-19 00:29:56,1
17,K5,2022-08-19 00:30:56,1
17,K4,2022-08-19 00:31:56,1
17,K7,2022-08-19 00:32:56,1
17,K8,2022-08-19 00:33:56,1
18,K1,2022-08-19 00:34:56,1
18,K2,2022-08-19 00:35:56,1
18,K4,2022-08-19 00:36:56,1
18,K5,2022-08-19 00:37:56,1
18,K4,2022-08-19 00:38:56,1
18,K5,2022-08-19 00:39:56,1
18,K4,2022-08-19 00:40:56,1
18,K5,2022-08-19 00:41:56,1
18,K4,2022-08-19 00:42:56,1
18,K5,2022-08-19 00:43:56,1
18,K4,2022-08-19 00:44:56,1
18,K3,2022-08-19 00:45:56,1
18,K5,2022-08-19 00:46:56,1
18,K4,2022-08-19 00:47:56,1
18,K5,2022-08-19 00:48:56,1
18,K4,2022-08-19 00:49:56,1
18,K7,2022-08-19 00:50:56,1
18,K9,2022-08-19 00:51:56,1
19,K1,2022-08-19 00:52:56,1
19,K6,2022-08-19 00:53:56,1
19,K9,2022-08-19 00:54:56,1
20,K1,2022-08-19 00:55:56,1
20,K6,2022-08-19 00:56:56,1
20,K8,2022-08-19 00:57:56,1
21,K1,2022-08-19 00:58:56,1
21,K6,2022-08-19 00:59:56,1
21,K8,2022-08-19 01:00:56,1
22,K1,2022-08-19 01:01:56,1
22,K2,2022-08-19 01:02:56,1
22,K4,2022-08-19 01:03:56,1
22,K5,2022-08-19 01:04:56,1
22,K4,2022-08-19 01:05:56,1
22,K5,2022-08-19 01:06:56,1
22,K4,2022-08-19 01:07:56,1
22,K5,2022-08-19 01:08:56,1
22,K3,2022-08-19 01:09:56,1
22,K4,2022-08-19 01:10:56,1
22,K5,2022-08-19 01:11:56,1
22,K4,2022-08-19 01:12:56,1
22,K7,2022-08-19 01:13:56,1
22,K8,2022-08-19 01:14:56,1
23,K1,2022-08-19 01:15:56,1
23,K2,2022-08-19 01:16:56,1
23,K4,2022-08-19 01:17:56,1
23,K5,2022-08-19 01:18:56,1
23,K4,2022-08-19 01:19:56,1
23,K5,2022-08-19 01:20:56,1
23,K4,2022-08-19 01:21:56,1
23,K5,2022-08-19 01:22:56,1
23,K4,2022-08-19 01:23:56,1
23,K5,2022-08-19 01:24:56,1
23,K4,2022-08-19 01:25:56,1
23,K3,2022-08-19 01:26:56,1
23,K5,2022-08-19 01:27:56,1
23,K4,2022-08-19 01:28:56,1
23,K5,2022-08-19 01:29:56,1
23,K4,2022-08-19 01:30:56,1
23,K7,2022-08-19 01:31:56,1
23,K8,2022-08-19 01:32:56,1
24,K1,2022-08-19 01:33:56,1
24,K6,2022-08-19 01:34:56,1
24,K8,2022-08-19 01:35:56,1
25,K1,2022-08-19 01:36:56,1
25,K6,2022-08-19 01:37:56,1
25,K9,2022-08-19 01:38:56,1
26,K1,2022-08-19 01:39:56,1
26,K2,2022-08-19 01:40:56,1
26,K4,2022-08-19 01:41:56,1
26,K5,2022-08-19 01:42:56,1
26,K4,2022-08-19 01:43:56,1
26,K5,2022-08-19 01:44:56,1
26,K4,2022-08-19 01:45:56,1
26,K3,2022-08-19 01:46:56,1
26,K5,2022-08-19 01:47:56,1
26,K4,2022-08-19 01:48:56,1
26,K5,2022-08-19 01:49:56,1
26,K4,2022-08-19 01:50:56,1
26,K7,2022-08-19 01:51:56,1
26,K8,2022-08-19 01:52:56,1
27,K1,2022-08-19 01:53:56,1
27,K6,2022-08-19 01:54:56,1
27,K9,2022-08-19 01:55:56,1
28,K1,2022-08-19 01:56:56,1
28,K6,2022-08-19 01:57:56,1
28,K9,2022-08-19 01:58:56,1
29,K1,2022-08-19 01:59:56,1
29,K6,2022-08-19 02:00:56,1
29,K8,2022-08-19 02:01:56,1
30,K1,2022-08-19 02:02:56,1
30,K6,2022-08-19 02:03:56,1
30,K8,2022-08-19 02:04:56,1
31,K1,2022-08-19 02:05:56,1
