case_id,activity,timestamp,label
1,F1,2022-07-28 09:34:29,1
1,F2,2022-07-28 09:35:29,1
1,F4,2022-07-28 09:36:29,1
1,F3,2022-07-28 09:37:29,1
1,F5,2022-07-28 09:38:29,1
1,F6,2022-07-28 09:39:29,1
1,F7,2022-07-28 09:40:29,1
1,F6,2022-07-28 09:41:29,1
1,F7,2022-07-28 09:42:29,1
1,F6,2022-07-28 09:43:29,1
1,F7,2022-07-28 09:44:29,1
1,F6,2022-07-28 09:45:29,1
1,F7,2022-07-28 09:46:29,1
1,F6,2022-07-28 09:47:29,1
1,F7,2022-07-28 09:48:29,1
1,F6,2022-07-28 09:49:29,1
1,F7,2022-07-28 09:50:29,1
1,F6,2022-07-28 09:51:29,1
2,F1,2022-07-28 09:52:29,0
2,F2,2022-07-28 09:53:29,0
2,F4,2022-07-28 09:54:29,0
2,F3,2022-07-28 09:55:29,0
2,F5,2022-07-28 09:56:29,0
2,F6,2022-07-28 09:57:29,0
2,F7,2022-07-28 09:58:29,0
2,F6,2022-07-28 09:59:29,0
2,F7,2022-07-28 10:00:29,0
2,F6,2022-07-28 10:01:29,0
2,F7,2022-07-28 10:02:29,0
3,F1,2022-07-28 10:03:29,1
3,F2,2022-07-28 10:04:29,1
3,F4,2022-07-28 10:05:29,1
3,F3,2022-07-28 10:06:29,1
3,F5,2022-07-28 10:07:29,1
3,F6,2022-07-28 10:08:29,1
3,F7,2022-07-28 10:09:29,1
3,F6,2022-07-28 10:10:29,1
3,F7,2022-07-28 10:11:29,1
3,F6,2022-07-28 10:12:29,1
4,F1,2022-07-28 10:13:29,1
4,F2,2022-07-28 10:14:29,1
4,F4,2022-07-28 10:15:29,1
4,F3,2022-07-28 10:16:29,1
4,F5,2022-07-28 10:17:29,1
4,F6,2022-07-28 10:18:29,1
4,F7,2022-07-28 10:19:29,1
4,F6,2022-07-28 10:20:29,1
4,F7,2022-07-28 10:21:29,1
4,F6,2022-07-28 10:22:29,1
4,F7,2022-07-28 10:23:29,1
4,F6,2022-07-28 10:24:29,1
5,F1,2022-07-28 10:25:29,1
5,F2,2022-07-28 10:26:29,1
5,F3,2022-07-28 10:27:29,1
5,F4,2022-07-28 10:28:29,1
5,F5,2022-07-28 10:29:29,1
5,F6,2022-07-28 10:30:29,1
5,F7,2022-07-28 10:31:29,1
5,F6,2022-07-28 10:32:29,1
5,F7,2022-07-28 10:33:29,1
5,F6,2022-07-28 10:34:29,1
5,F7,2022-07-28 10:35:29,1
5,F6,2022-07-28 10:36:29,1
5,F7,2022-07-28 10:37:29,1
5,F6,2022-07-28 10:38:29,1
6,F1,2022-07-28 10:39:29,0
6,F2,2022-07-28 10:40:29,0
6,F4,2022-07-28 10:41:29,0
6,F3,2022-07-28 10:42:29,0
